celebrity,season,week,A_raw,A_norm,A_zscore,A_core,P_raw,P_avg,P_peak,P_stability,RI,FDI,PS,Category
Stacy Keibler,2,1,7.333333333333333,0.8333333333333333,0.603388490031847,0.9128713919795299,0.1012366606464154,0.1541216934026886,0.2688007618015289,0.6356500481933649,1.4723796627189492,0.152163141957714,0.6093715125487934,Star
Jerry Rice,2,1,7.0,0.75,0.3620330940191083,-0.5585507085237171,0.1041577168031038,0.26306505056406293,0.6064367347743785,0.3905402140815225,6.3830674407925585,0.39946058391430445,-0.22990440488860509,Popular
Giselle Fernandez,2,1,7.666666666666667,0.9166666666666667,0.8447438860445863,0.3662569945978182,0.101176075847127,0.07690516978001789,0.1091728244678468,0.47842422076058577,-4.040473341102355,0.16494158944758436,0.25051626467069804,Average
Master P,2,1,4.0,0.0,-1.8101654700955416,-1.8402825890086778,0.1387932309750777,0.13736399233566457,0.2095490732044375,0.5784403757913662,-2.1530077640187257,0.07079586917586375,-1.049223956470941,Average
Drew Lachey,2,1,8.0,1.0,1.086099282057325,0.8559660456527407,0.0991568061265148,0.1697540778441326,0.2780540874591253,0.6355847569038151,2.618370154594424,0.17757333392340652,0.5814812585292974,Star
Kenny Mayne,2,1,4.333333333333333,0.08333333333333326,-1.568810074082803,-1.568810074082803,0.023617821642415,0.023617821642415,0.023617821642415,1.0,0.0,0.014152492251339998,-0.9318389157927158,Average
Tatum O'Neal,2,2,5.666666666666667,0.07692307692307707,-1.232793511404592,-0.19402481268000288,0.0274732944093399,0.06470048216003865,0.1019276699107374,0.4246227151968336,-7.44543755013975,0.22005109558714137,-0.09053469474398626,Average
Tia Carrere,2,2,7.333333333333333,0.46153846153846156,-0.052459298357641855,0.01247179331809627,0.1223957831820461,0.1079744777277882,0.1487146075584906,0.7330271389795149,-0.5964971980731908,0.9600138358460364,0.05067286708197305,Average
George Hamilton,2,2,7.333333333333333,0.46153846153846156,-0.052459298357641855,-0.3728393629200615,0.1111360910536354,0.14031853834742328,0.1939076103844202,0.7053880976987648,0.2219002265458723,0.2967573119988862,-0.16757620241306756,Average
Lisa Rinna,2,2,6.666666666666667,0.3076923076923079,-0.5245929835764217,0.10165749282079038,0.1362364359265374,0.14135707744917705,0.2234970359411993,0.6896518423020925,0.5019162121078231,0.7009760732014987,0.11753732667214506,Average
Stacy Keibler,2,2,9.666666666666666,1.0,1.6000085999080889,0.9128713919795299,0.1074023640705007,0.1541216934026886,0.2688007618015289,0.6356500481933649,1.4723796627189492,0.152163141957714,0.6093715125487934,Star
Jerry Rice,2,2,7.666666666666667,0.5384615384615387,0.1836075442517487,-0.5585507085237171,0.1192304121015476,0.26306505056406293,0.6064367347743785,0.3905402140815225,6.3830674407925585,0.39946058391430445,-0.22990440488860509,Popular
Giselle Fernandez,2,2,8.0,0.6153846153846155,0.4196743868611386,0.3662569945978182,0.1091728244678468,0.07690516978001789,0.1091728244678468,0.47842422076058577,-4.040473341102355,0.16494158944758436,0.25051626467069804,Average
Master P,2,2,5.333333333333333,0.0,-1.4688603540139826,-1.8402825890086778,0.1529527880426265,0.13736399233566457,0.2095490732044375,0.5784403757913662,-2.1530077640187257,0.07079586917586375,-1.049223956470941,Average
Drew Lachey,2,2,9.0,0.8461538461538463,1.127874914689309,0.8559660456527407,0.1140000067459198,0.1697540778441326,0.2780540874591253,0.6355847569038151,2.618370154594424,0.17757333392340652,0.5814812585292974,Star
Tia Carrere,2,3,8.666666666666666,0.9230769230769229,0.7178049194865018,0.01247179331809627,0.1048396021297823,0.1079744777277882,0.1487146075584906,0.7330271389795149,-0.5964971980731908,0.9600138358460364,0.05067286708197305,Average
George Hamilton,2,3,7.333333333333333,0.6153846153846153,-0.16564728911227042,-0.3728393629200615,0.1486084890315704,0.14031853834742328,0.1939076103844202,0.7053880976987648,0.2219002265458723,0.2967573119988862,-0.16757620241306756,Average
Lisa Rinna,2,3,8.333333333333334,0.8461538461538463,0.4969418673368095,0.10165749282079038,0.1221261144467653,0.14135707744917705,0.2234970359411993,0.6896518423020925,0.5019162121078231,0.7009760732014987,0.11753732667214506,Average
Stacy Keibler,2,3,9.0,1.0,0.9386679716361953,0.9128713919795299,0.1078614725568057,0.1541216934026886,0.2688007618015289,0.6356500481933649,1.4723796627189492,0.152163141957714,0.6093715125487934,Star
Jerry Rice,2,3,6.333333333333333,0.3846153846153845,-0.8282364455613497,-0.5585507085237171,0.1855664492434641,0.26306505056406293,0.6064367347743785,0.3905402140815225,6.3830674407925585,0.39946058391430445,-0.22990440488860509,Popular
Giselle Fernandez,2,3,7.333333333333333,0.6153846153846153,-0.16564728911227042,0.3662569945978182,0.0203666090250799,0.07690516978001789,0.1091728244678468,0.47842422076058577,-4.040473341102355,0.16494158944758436,0.25051626467069804,Average
Master P,2,3,4.666666666666667,0.0,-1.9325517063098148,-1.8402825890086778,0.2095490732044375,0.13736399233566457,0.2095490732044375,0.5784403757913662,-2.1530077640187257,0.07079586917586375,-1.049223956470941,Average
Drew Lachey,2,3,9.0,1.0,0.9386679716361953,0.8559660456527407,0.1010821903620943,0.1697540778441326,0.2780540874591253,0.6355847569038151,2.618370154594424,0.17757333392340652,0.5814812585292974,Star
Tia Carrere,2,4,8.333333333333334,0.85,0.3582588042692289,0.01247179331809627,0.1487146075584906,0.1079744777277882,0.1487146075584906,0.7330271389795149,-0.5964971980731908,0.9600138358460364,0.05067286708197305,Average
George Hamilton,2,4,7.0,0.65,-0.23181452040950082,-0.3728393629200615,0.1939076103844202,0.14031853834742328,0.1939076103844202,0.7053880976987648,0.2219002265458723,0.2967573119988862,-0.16757620241306756,Average
Lisa Rinna,2,4,8.666666666666666,0.8999999999999998,0.5057771354389108,0.10165749282079038,0.148846506461738,0.14135707744917705,0.2234970359411993,0.6896518423020925,0.5019162121078231,0.7009760732014987,0.11753732667214506,Average
Stacy Keibler,2,4,8.666666666666666,0.8999999999999998,0.5057771354389108,0.9128713919795299,0.1474401051128787,0.1541216934026886,0.2688007618015289,0.6356500481933649,1.4723796627189492,0.152163141957714,0.6093715125487934,Star
Jerry Rice,2,4,8.0,0.7999999999999999,0.21074047309954627,-0.5585507085237171,0.1629294705274755,0.26306505056406293,0.6064367347743785,0.3905402140815225,6.3830674407925585,0.39946058391430445,-0.22990440488860509,Popular
Master P,2,4,2.6666666666666665,0.0,-2.149552825615372,-1.8402825890086778,0.0481608771205165,0.13736399233566457,0.2095490732044375,0.5784403757913662,-2.1530077640187257,0.07079586917586375,-1.049223956470941,Average
Drew Lachey,2,4,9.333333333333334,1.0,0.800813797778276,0.8559660456527407,0.1500008228344789,0.1697540778441326,0.2780540874591253,0.6355847569038151,2.618370154594424,0.17757333392340652,0.5814812585292974,Star
Tia Carrere,2,5,7.333333333333333,0.0,-1.081923156813977,0.01247179331809627,0.0604690618383701,0.1079744777277882,0.1487146075584906,0.7330271389795149,-0.5964971980731908,0.9600138358460364,0.05067286708197305,Average
George Hamilton,2,5,8.0,0.25000000000000006,-0.3986032682998853,-0.3728393629200615,0.1888553665663704,0.14031853834742328,0.1939076103844202,0.7053880976987648,0.2219002265458723,0.2967573119988862,-0.16757620241306756,Average
Lisa Rinna,2,5,8.333333333333334,0.3750000000000003,-0.05694332404283894,0.10165749282079038,0.1740204649459281,0.14135707744917705,0.2234970359411993,0.6896518423020925,0.5019162121078231,0.7009760732014987,0.11753732667214506,Average
Stacy Keibler,2,5,10.0,1.0,1.6513563972423893,0.9128713919795299,0.1766225924145711,0.1541216934026886,0.2688007618015289,0.6356500481933649,1.4723796627189492,0.152163141957714,0.6093715125487934,Star
Jerry Rice,2,5,7.666666666666667,0.1250000000000002,-0.7402632125569307,-0.5585507085237171,0.2269389827318901,0.26306505056406293,0.6064367347743785,0.3905402140815225,6.3830674407925585,0.39946058391430445,-0.22990440488860509,Popular
Drew Lachey,2,5,9.0,0.625,0.626376564471252,0.8559660456527407,0.1730935315028702,0.1697540778441326,0.2780540874591253,0.6355847569038151,2.618370154594424,0.17757333392340652,0.5814812585292974,Star
George Hamilton,2,6,7.666666666666667,0.0,-1.0264787073219621,-0.3728393629200615,0.0796226496642717,0.14031853834742328,0.1939076103844202,0.7053880976987648,0.2219002265458723,0.2967573119988862,-0.16757620241306756,Average
Lisa Rinna,2,6,9.0,0.5714285714285714,0.11405318970243981,0.10165749282079038,0.2234970359411993,0.14135707744917705,0.2234970359411993,0.6896518423020925,0.5019162121078231,0.7009760732014987,0.11753732667214506,Average
Stacy Keibler,2,6,10.0,1.0,0.9694521124707415,0.9128713919795299,0.2081004128523125,0.1541216934026886,0.2688007618015289,0.6356500481933649,1.4723796627189492,0.152163141957714,0.6093715125487934,Star
Jerry Rice,2,6,7.666666666666667,0.0,-1.0264787073219621,-0.5585507085237171,0.2808188855763388,0.26306505056406293,0.6064367347743785,0.3905402140815225,6.3830674407925585,0.39946058391430445,-0.22990440488860509,Popular
Drew Lachey,2,6,10.0,1.0,0.9694521124707415,0.8559660456527407,0.2079610159658773,0.1697540778441326,0.2780540874591253,0.6355847569038151,2.618370154594424,0.17757333392340652,0.5814812585292974,Star
Lisa Rinna,2,7,8.833333333333334,0.8571428571428577,0.29704426289300284,0.10165749282079038,0.0780733236879863,0.14135707744917705,0.2234970359411993,0.6896518423020925,0.5019162121078231,0.7009760732014987,0.11753732667214506,Average
Stacy Keibler,2,7,9.166666666666666,1.0,0.594088525786004,0.9128713919795299,0.2688007618015289,0.1541216934026886,0.2688007618015289,0.6356500481933649,1.4723796627189492,0.152163141957714,0.6093715125487934,Star
Jerry Rice,2,7,6.833333333333333,0.0,-1.4852213144650117,-0.5585507085237171,0.4184417527543049,0.26306505056406293,0.6064367347743785,0.3905402140815225,6.3830674407925585,0.39946058391430445,-0.22990440488860509,Popular
Drew Lachey,2,7,9.166666666666666,1.0,0.594088525786004,0.8559660456527407,0.2346841617561803,0.1697540778441326,0.2780540874591253,0.6355847569038151,2.618370154594424,0.17757333392340652,0.5814812585292974,Star
Stacy Keibler,2,8,9.5555,0.8571489799417105,0.440231903322063,0.9128713919795299,0.1155091777664959,0.1541216934026886,0.2688007618015289,0.6356500481933649,1.4723796627189492,0.152163141957714,0.6093715125487934,Star
Jerry Rice,2,8,8.888866666666667,0.0,-1.1445870996548861,-0.5585507085237171,0.6064367347743785,0.26306505056406293,0.6064367347743785,0.3905402140815225,6.3830674407925585,0.39946058391430445,-0.22990440488860509,Popular
Drew Lachey,2,8,9.6666,1.0,0.7043551963328231,0.8559660456527407,0.2780540874591253,0.1697540778441326,0.2780540874591253,0.6355847569038151,2.618370154594424,0.17757333392340652,0.5814812585292974,Star
Harry Hamlin,3,1,5.666666666666667,0.35714285714285726,-0.5445602208425814,-0.5326519313747925,0.0972803713231246,0.07544981012818154,0.1141822396433771,0.42509015758649493,-4.119677595254085,0.11925959028406719,-0.28941123477360287,Average
Vivica A. Fox,3,1,7.333333333333333,0.7142857142857143,0.6534722650110998,0.5532516899219689,0.0950582716278049,0.08092838635536992,0.1074664442931477,0.5430482002867789,-2.294780011289188,0.12388546038822622,0.3643223684953293,Skilled
Monique Coleman,3,1,6.333333333333333,0.5,-0.0653472265011092,0.2415758219037019,0.0988067819839271,0.14288287156592056,0.242514763271724,0.6097954373221464,0.886124307571873,0.41830499234282026,0.20209864176858935,Average
Joey Lawrence,3,1,7.0,0.6428571428571429,0.41386576784036366,0.30349665996799463,0.0967276582525966,0.1894374526407151,0.3365646449707869,0.5563693524864515,3.1449711128339546,0.4694895185891781,0.2578729770370828,Popular
Mario Lopez,3,1,8.666666666666666,1.0,1.6118982536940447,0.5809796224115029,0.0950282753148381,0.19982790768042263,0.3357515576027218,0.603300147316457,2.543089748993664,0.2934418315966443,0.4285189365190708,Star
Emmitt Smith,3,1,8.0,0.8571428571428572,1.1326852593525727,0.1293960291628063,0.0931802652395393,0.2487631048574584,0.748805942588974,0.2631995787669775,5.232862354472032,1.0844263772364906,0.17714285944066716,Popular
Shanna Moakler,3,1,6.0,0.4285714285714286,-0.3049537236718453,-0.32453866223884387,0.0999121618083787,0.0559331265580526,0.0999121618083787,0.21372113527963488,-8.795807050065218,0.13175037171663964,-0.17234994672008527,Average
Willa Ford,3,1,7.333333333333333,0.7142857142857143,0.6534722650110998,0.42630037077487193,0.095227185633509,0.09522236744407438,0.1295275614133777,0.5764476975555592,-1.3181350979753632,0.1809277985190824,0.2938691694425529,Average
Sara Evans,3,1,5.0,0.2142857142857143,-1.0237732151840542,-0.7606433712164342,0.1040085845064617,0.11121551539557147,0.1589677603783496,0.7103380420714183,-0.525297490296911,0.1292236937099502,-0.41189981657163194,Average
Jerry Springer,3,1,5.333333333333333,0.2857142857142857,-0.7841667180133182,-1.1884998518380547,0.1045789123958608,0.13596852189901,0.2015697942282236,0.6467403550852282,0.20180199228816645,0.10552467018529328,-0.6587125023432288,Average
Tucker Carlson,3,1,4.0,0.0,-1.7425927066962632,-1.7425927066962632,0.0201915319139599,0.0201915319139599,0.0201915319139599,1.0,0.0,0.010958217646569852,-1.037479011252174,Average
Harry Hamlin,3,2,7.0,0.2000000000000001,-0.6882472016116847,-0.5326519313747925,0.1141822396433771,0.07544981012818154,0.1141822396433771,0.42509015758649493,-4.119677595254085,0.11925959028406719,-0.28941123477360287,Average
Vivica A. Fox,3,2,8.0,0.5000000000000001,0.34412360080584325,0.5532516899219689,0.1038340297600582,0.08092838635536992,0.1074664442931477,0.5430482002867789,-2.294780011289188,0.12388546038822622,0.3643223684953293,Skilled
Monique Coleman,3,2,8.666666666666666,0.7,1.032370802417528,0.2415758219037019,0.1037867085175791,0.14288287156592056,0.242514763271724,0.6097954373221464,0.886124307571873,0.41830499234282026,0.20209864176858935,Average
Joey Lawrence,3,2,9.666666666666666,1.0,2.064741604835056,0.30349665996799463,0.0945759138233249,0.1894374526407151,0.3365646449707869,0.5563693524864515,3.1449711128339546,0.4694895185891781,0.2578729770370828,Popular
Mario Lopez,3,2,7.0,0.2000000000000001,-0.6882472016116847,0.5809796224115029,0.1142125303037679,0.19982790768042263,0.3357515576027218,0.603300147316457,2.543089748993664,0.2934418315966443,0.4285189365190708,Star
Emmitt Smith,3,2,8.0,0.5000000000000001,0.34412360080584325,0.1293960291628063,0.1060007742044775,0.2487631048574584,0.748805942588974,0.2631995787669775,5.232862354472032,1.0844263772364906,0.17714285944066716,Popular
Shanna Moakler,3,2,7.333333333333333,0.30000000000000004,-0.34412360080584237,-0.32453866223884387,0.0119540913077265,0.0559331265580526,0.0999121618083787,0.21372113527963488,-8.795807050065218,0.13175037171663964,-0.17234994672008527,Average
Willa Ford,3,2,7.666666666666667,0.4000000000000002,9.169294678357502e-16,0.42630037077487193,0.1077117411025504,0.09522236744407438,0.1295275614133777,0.5764476975555592,-1.3181350979753632,0.1809277985190824,0.2938691694425529,Average
Sara Evans,3,2,7.0,0.2000000000000001,-0.6882472016116847,-0.7606433712164342,0.1208758419700821,0.11121551539557147,0.1589677603783496,0.7103380420714183,-0.525297490296911,0.1292236937099502,-0.41189981657163194,Average
Jerry Springer,3,2,6.333333333333333,0.0,-1.3764944032233704,-1.1884998518380547,0.122866129367056,0.13596852189901,0.2015697942282236,0.6467403550852282,0.20180199228816645,0.10552467018529328,-0.6587125023432288,Average
Harry Hamlin,3,3,7.333333333333333,0.37499999999999994,-0.3651483716701113,-0.5326519313747925,0.0148868194180429,0.07544981012818154,0.1141822396433771,0.42509015758649493,-4.119677595254085,0.11925959028406719,-0.28941123477360287,Average
Vivica A. Fox,3,3,9.0,1.0,1.4605934866804424,0.5532516899219689,0.1074664442931477,0.08092838635536992,0.1074664442931477,0.5430482002867789,-2.294780011289188,0.12388546038822622,0.3643223684953293,Skilled
Monique Coleman,3,3,9.0,1.0,1.4605934866804424,0.2415758219037019,0.112580304985432,0.14288287156592056,0.242514763271724,0.6097954373221464,0.886124307571873,0.41830499234282026,0.20209864176858935,Average
Joey Lawrence,3,3,7.333333333333333,0.37499999999999994,-0.3651483716701113,0.30349665996799463,0.1282986930748353,0.1894374526407151,0.3365646449707869,0.5563693524864515,3.1449711128339546,0.4694895185891781,0.2578729770370828,Popular
Mario Lopez,3,3,7.333333333333333,0.37499999999999994,-0.3651483716701113,0.5809796224115029,0.1294507737273314,0.19982790768042263,0.3357515576027218,0.603300147316457,2.543089748993664,0.2934418315966443,0.4285189365190708,Star
Emmitt Smith,3,3,6.333333333333333,0.0,-1.4605934866804433,0.1293960291628063,0.1368343032371174,0.2487631048574584,0.748805942588974,0.2631995787669775,5.232862354472032,1.0844263772364906,0.17714285944066716,Popular
Willa Ford,3,3,7.333333333333333,0.37499999999999994,-0.3651483716701113,0.42630037077487193,0.1252328284916076,0.09522236744407438,0.1295275614133777,0.5764476975555592,-1.3181350979753632,0.1809277985190824,0.2938691694425529,Average
Sara Evans,3,3,8.333333333333334,0.7500000000000002,0.7302967433402217,-0.7606433712164342,0.1135276393354816,0.11121551539557147,0.1589677603783496,0.7103380420714183,-0.525297490296911,0.1292236937099502,-0.41189981657163194,Average
Jerry Springer,3,3,7.0,0.25000000000000006,-0.7302967433402217,-1.1884998518380547,0.1317221934370037,0.13596852189901,0.2015697942282236,0.6467403550852282,0.20180199228816645,0.10552467018529328,-0.6587125023432288,Average
Vivica A. Fox,3,4,8.0,0.4444444444444445,-0.2451825928095098,0.5532516899219689,0.0173547997404688,0.08092838635536992,0.1074664442931477,0.5430482002867789,-2.294780011289188,0.12388546038822622,0.3643223684953293,Skilled
Monique Coleman,3,4,8.0,0.4444444444444445,-0.2451825928095098,0.2415758219037019,0.1449370860192813,0.14288287156592056,0.242514763271724,0.6097954373221464,0.886124307571873,0.41830499234282026,0.20209864176858935,Average
Joey Lawrence,3,4,9.0,0.7777777777777779,0.7355477784285295,0.30349665996799463,0.1287244284083701,0.1894374526407151,0.3365646449707869,0.5563693524864515,3.1449711128339546,0.4694895185891781,0.2578729770370828,Popular
Mario Lopez,3,4,9.666666666666666,1.0,1.389368025920555,0.5809796224115029,0.132187049556086,0.19982790768042263,0.3357515576027218,0.603300147316457,2.543089748993664,0.2934418315966443,0.4285189365190708,Star
Emmitt Smith,3,4,8.0,0.4444444444444445,-0.2451825928095098,0.1293960291628063,0.1407058635641725,0.2487631048574584,0.748805942588974,0.2631995787669775,5.232862354472032,1.0844263772364906,0.17714285944066716,Popular
Willa Ford,3,4,9.333333333333334,0.8888888888888893,1.062457902174543,0.42630037077487193,0.1295275614133777,0.09522236744407438,0.1295275614133777,0.5764476975555592,-1.3181350979753632,0.1809277985190824,0.2938691694425529,Average
Sara Evans,3,4,6.666666666666667,0.0,-1.5528230877935618,-0.7606433712164342,0.1589677603783496,0.11121551539557147,0.1589677603783496,0.7103380420714183,-0.525297490296911,0.1292236937099502,-0.41189981657163194,Average
Jerry Springer,3,4,7.333333333333333,0.2222222222222221,-0.8990028403015362,-1.1884998518380547,0.1475954509198943,0.13596852189901,0.2015697942282236,0.6467403550852282,0.20180199228816645,0.10552467018529328,-0.6587125023432288,Average
Monique Coleman,3,5,9.0,1.0,0.7807200583588275,0.2415758219037019,0.176564017372633,0.14288287156592056,0.242514763271724,0.6097954373221464,0.886124307571873,0.41830499234282026,0.20209864176858935,Average
Joey Lawrence,3,5,8.333333333333334,0.3333333333333339,-0.5855400437691178,0.30349665996799463,0.1782400690103657,0.1894374526407151,0.3365646449707869,0.5563693524864515,3.1449711128339546,0.4694895185891781,0.2578729770370828,Popular
Mario Lopez,3,5,9.0,1.0,0.7807200583588275,0.5809796224115029,0.1876002808424282,0.19982790768042263,0.3357515576027218,0.603300147316457,2.543089748993664,0.2934418315966443,0.4285189365190708,Star
Emmitt Smith,3,5,9.0,1.0,0.7807200583588275,0.1293960291628063,0.1875926813616845,0.2487631048574584,0.748805942588974,0.2631995787669775,5.232862354472032,1.0844263772364906,0.17714285944066716,Popular
Willa Ford,3,5,9.0,1.0,0.7807200583588275,0.42630037077487193,0.0184125205793272,0.09522236744407438,0.1295275614133777,0.5764476975555592,-1.3181350979753632,0.1809277985190824,0.2938691694425529,Average
Sara Evans,3,5,8.0,0.0,-1.2686700948330925,-0.7606433712164342,0.0586977507874824,0.11121551539557147,0.1589677603783496,0.7103380420714183,-0.525297490296911,0.1292236937099502,-0.41189981657163194,Average
Jerry Springer,3,5,8.0,0.0,-1.2686700948330925,-1.1884998518380547,0.1928926800460785,0.13596852189901,0.2015697942282236,0.6467403550852282,0.20180199228816645,0.10552467018529328,-0.6587125023432288,Average
Monique Coleman,3,6,7.666666666666667,0.5,-0.16452254913212466,0.2415758219037019,0.1996618926393583,0.14288287156592056,0.242514763271724,0.6097954373221464,0.886124307571873,0.41830499234282026,0.20209864176858935,Average
Joey Lawrence,3,6,8.0,0.5999999999999999,0.10968169942141595,0.30349665996799463,0.1983610168839587,0.1894374526407151,0.3365646449707869,0.5563693524864515,3.1449711128339546,0.4694895185891781,0.2578729770370828,Popular
