season,week,survival_rate,n_valid,n_total
32,6,0.34,170,500
32,7,0.07,35,500
32,8,0.224,112,500
32,9,1.0,500,500
32,10,1.0,500,500
32,11,1.0,500,500
33,1,1.0,500,500
33,2,0.61,305,500
33,3,0.898,449,500
33,4,0.228,114,500
33,5,0.552,276,500
33,6,0.066,33,500
33,7,0.638,319,500
33,8,1.0,500,500
33,9,1.0,500,500
34,1,1.0,500,500
34,2,0.814,407,500
34,3,0.52,260,500
34,4,0.092,46,500
34,5,1.0,500,500
34,6,0.418,209,500
34,7,0.428,214,500
34,8,0.706,353,500
34,9,0.704,352,500
34,10,0.188,94,500
34,11,1.0,500,500
