celebrity,season,week,judge_score,judge_percent,fan_percent_mean,fan_percent_std,is_exited,exit_week,final_rank,placement,n_valid_samples
Tatum O'Neal,2,2,5.666666666666667,0.08500000000000002,0.027473294409339957,0.02312282978370236,True,2.0,,9.0,2339
Tia Carrere,2,2,7.333333333333333,0.11000000000000001,0.12239578318204619,0.10081029752948428,False,5.0,,6.0,2339
George Hamilton,2,2,7.333333333333333,0.11000000000000001,0.1111360910536354,0.10056488650345292,False,6.0,,5.0,2339
Lisa Rinna,2,2,6.666666666666667,0.10000000000000002,0.1362364359265374,0.09770174954450553,False,7.0,,4.0,2339
Stacy Keibler,2,2,9.666666666666666,0.14500000000000002,0.10740236407050079,0.0958195427469902,False,8.0,3.0,3.0,2339
Jerry Rice,2,2,7.666666666666667,0.11500000000000002,0.11923041210154764,0.10561278772242264,False,8.0,2.0,2.0,2339
Giselle Fernandez,2,2,8.0,0.12000000000000002,0.10917282446784682,0.0978173084990899,False,3.0,,8.0,2339
Master P,2,2,5.333333333333333,0.08,0.1529527880426265,0.09744423439756675,False,4.0,,7.0,2339
Drew Lachey,2,2,9.0,0.135,0.11400000674591984,0.1008412504826072,False,8.0,1.0,1.0,2339
Tia Carrere,2,3,8.666666666666666,0.14285714285714285,0.10483960212978233,0.10588007514190796,False,5.0,,6.0,478
George Hamilton,2,3,7.333333333333333,0.12087912087912087,0.14860848903157045,0.10297654410115002,False,6.0,,5.0,478
Lisa Rinna,2,3,8.333333333333334,0.13736263736263737,0.1221261144467653,0.1099927962283486,False,7.0,,4.0,478
Stacy Keibler,2,3,9.0,0.14835164835164835,0.10786147255680573,0.09957460883500008,False,8.0,3.0,3.0,478
Jerry Rice,2,3,6.333333333333333,0.10439560439560439,0.18556644924346413,0.11422913926740977,False,8.0,2.0,2.0,478
Giselle Fernandez,2,3,7.333333333333333,0.12087912087912087,0.020366609025079987,0.01756585904955653,True,3.0,,8.0,478
Master P,2,3,4.666666666666667,0.07692307692307693,0.20954907320443758,0.10492119244845982,False,4.0,,7.0,478
Drew Lachey,2,3,9.0,0.14835164835164835,0.10108219036209434,0.08859295043901771,False,8.0,1.0,1.0,478
Tia Carrere,2,4,8.333333333333334,0.15822784810126583,0.14871460755849067,0.1241346296342936,False,5.0,,6.0,3689
George Hamilton,2,4,7.0,0.1329113924050633,0.1939076103844202,0.1253617883336513,False,6.0,,5.0,3689
Lisa Rinna,2,4,8.666666666666666,0.16455696202531644,0.14884650646173803,0.12530114228856232,False,7.0,,4.0,3689
Stacy Keibler,2,4,8.666666666666666,0.16455696202531644,0.1474401051128787,0.1257730957017709,False,8.0,3.0,3.0,3689
Jerry Rice,2,4,8.0,0.1518987341772152,0.16292947052747558,0.12132982356057838,False,8.0,2.0,2.0,3689
Master P,2,4,2.6666666666666665,0.05063291139240506,0.04816087712051651,0.0410005416741946,True,4.0,,7.0,3689
Drew Lachey,2,4,9.333333333333334,0.17721518987341775,0.15000082283447896,0.12802639348785974,False,8.0,1.0,1.0,3689
Tia Carrere,2,5,7.333333333333333,0.1456953642384106,0.06046906183837017,0.04969070826633998,True,5.0,,6.0,4055
George Hamilton,2,5,8.0,0.15894039735099338,0.18885536656637048,0.1422125679809683,False,6.0,,5.0,4055
Lisa Rinna,2,5,8.333333333333334,0.1655629139072848,0.17402046494592815,0.14088673278333796,False,7.0,,4.0,4055
Stacy Keibler,2,5,10.0,0.19867549668874174,0.17662259241457112,0.1447890739370156,False,8.0,3.0,3.0,4055
Jerry Rice,2,5,7.666666666666667,0.15231788079470202,0.22693898273189017,0.14107518883879216,False,8.0,2.0,2.0,4055
Drew Lachey,2,5,9.0,0.17880794701986757,0.1730935315028702,0.14338151610363548,False,8.0,1.0,1.0,4055
George Hamilton,2,6,7.666666666666667,0.17293233082706766,0.07962264966427174,0.06430554817415154,True,6.0,,5.0,4240
Lisa Rinna,2,6,9.0,0.20300751879699247,0.2234970359411993,0.16654851328364773,False,7.0,,4.0,4240
Stacy Keibler,2,6,10.0,0.22556390977443608,0.20810041285231257,0.16554542313723278,False,8.0,3.0,3.0,4240
Jerry Rice,2,6,7.666666666666667,0.17293233082706766,0.28081888557633883,0.15991210873236592,False,8.0,2.0,2.0,4240
Drew Lachey,2,6,10.0,0.22556390977443608,0.20796101596587738,0.1702774577179795,False,8.0,1.0,1.0,4240
Lisa Rinna,2,7,8.833333333333334,0.25980392156862747,0.07807332368798635,0.06240691488680728,True,7.0,,4.0,2035
Stacy Keibler,2,7,9.166666666666666,0.2696078431372549,0.26880076180152895,0.1642992183173456,False,8.0,3.0,3.0,2035
Jerry Rice,2,7,6.833333333333333,0.20098039215686272,0.41844175275430495,0.16974290197607855,False,8.0,2.0,2.0,2035
Drew Lachey,2,7,9.166666666666666,0.2696078431372549,0.23468416175618034,0.18334317984444098,False,8.0,1.0,1.0,2035
Stacy Keibler,2,8,9.5555,0.339920718960216,0.1155091777664959,0.07857019295849899,False,8.0,3.0,3.0,1571
Jerry Rice,2,8,8.888866666666667,0.3162063678588072,0.6064367347743785,0.14313470352834837,False,8.0,2.0,2.0,1571
Drew Lachey,2,8,9.6666,0.3438729131809768,0.2780540874591253,0.1033517116851496,False,8.0,1.0,1.0,1571
Harry Hamlin,3,1,5.666666666666667,0.08018867924528303,0.0972803713231246,0.08360963413407899,False,3.0,,9.0,3272
Vivica A. Fox,3,1,7.333333333333333,0.10377358490566038,0.09505827162780496,0.08682140973604924,False,4.0,,8.0,3272
Monique Coleman,3,1,6.333333333333333,0.08962264150943397,0.09880678198392713,0.08854822159965983,False,8.0,,4.0,3272
Joey Lawrence,3,1,7.0,0.09905660377358493,0.09672765825259662,0.08730638663023323,False,10.0,3.0,3.0,3272
Mario Lopez,3,1,8.666666666666666,0.12264150943396228,0.09502827531483814,0.08734590225372414,False,10.0,2.0,2.0,3272
Emmitt Smith,3,1,8.0,0.11320754716981134,0.09318026523953932,0.08486106245970784,False,10.0,1.0,1.0,3272
Shanna Moakler,3,1,6.0,0.0849056603773585,0.09991216180837872,0.08594568611462672,False,2.0,,10.0,3272
Willa Ford,3,1,7.333333333333333,0.10377358490566038,0.095227185633509,0.08830529090440203,False,5.0,,7.0,3272
Sara Evans,3,1,5.0,0.07075471698113209,0.10400858450646176,0.08460462010111494,False,5.0,,6.0,3272
Jerry Springer,3,1,5.333333333333333,0.07547169811320756,0.10457891239586084,0.08729757211668063,False,7.0,,5.0,3272
Tucker Carlson,3,1,4.0,0.05660377358490567,0.020191531913959917,0.014610257575544685,True,1.0,,11.0,3272
Harry Hamlin,3,2,7.0,0.09130434782608697,0.11418223964337713,0.08684241287547564,False,3.0,,9.0,1162
Vivica A. Fox,3,2,8.0,0.10434782608695653,0.10383402976005822,0.08374520727720071,False,4.0,,8.0,1162
Monique Coleman,3,2,8.666666666666666,0.11304347826086956,0.10378670851757915,0.09399628198046324,False,8.0,,4.0,1162
Joey Lawrence,3,2,9.666666666666666,0.12608695652173915,0.09457591382332492,0.07979100824426978,False,10.0,3.0,3.0,1162
Mario Lopez,3,2,7.0,0.09130434782608697,0.11421253030376795,0.08597867810208902,False,10.0,2.0,2.0,1162
Emmitt Smith,3,2,8.0,0.10434782608695653,0.10600077420447757,0.08717730389754462,False,10.0,1.0,1.0,1162
Shanna Moakler,3,2,7.333333333333333,0.09565217391304348,0.011954091307726537,0.010191065537918464,True,2.0,,10.0,1162
Willa Ford,3,2,7.666666666666667,0.10000000000000002,0.10771174110255043,0.08832681770454388,False,5.0,,7.0,1162
Sara Evans,3,2,7.0,0.09130434782608697,0.12087584197008211,0.09090846967639786,False,5.0,,6.0,1162
Jerry Springer,3,2,6.333333333333333,0.08260869565217392,0.12286612936705603,0.09134372469551177,False,7.0,,5.0,1162
Harry Hamlin,3,3,7.333333333333333,0.10628019323671498,0.014886819418042901,0.012376405820810305,True,3.0,,9.0,1266
Vivica A. Fox,3,3,9.0,0.13043478260869565,0.10746644429314778,0.09427371393131308,False,4.0,,8.0,1266
Monique Coleman,3,3,9.0,0.13043478260869565,0.11258030498543205,0.09618785596220561,False,8.0,,4.0,1266
Joey Lawrence,3,3,7.333333333333333,0.10628019323671498,0.1282986930748353,0.0988646770486255,False,10.0,3.0,3.0,1266
Mario Lopez,3,3,7.333333333333333,0.10628019323671498,0.1294507737273314,0.09661156409939267,False,10.0,2.0,2.0,1266
Emmitt Smith,3,3,6.333333333333333,0.09178743961352656,0.13683430323711746,0.0969871788396823,False,10.0,1.0,1.0,1266
Willa Ford,3,3,7.333333333333333,0.10628019323671498,0.12523282849160766,0.10068931112052475,False,5.0,,7.0,1266
Sara Evans,3,3,8.333333333333334,0.12077294685990339,0.11352763933548167,0.0962851049611358,False,5.0,,6.0,1266
Jerry Springer,3,3,7.0,0.10144927536231885,0.13172219343700378,0.09814235925798379,False,7.0,,5.0,1266
Vivica A. Fox,3,4,8.0,0.12121212121212122,0.017354799740468805,0.015482454755420354,True,4.0,,8.0,1272
Monique Coleman,3,4,8.0,0.12121212121212122,0.1449370860192813,0.11046814596797407,False,8.0,,4.0,1272
Joey Lawrence,3,4,9.0,0.13636363636363635,0.12872442840837012,0.10704530067675014,False,10.0,3.0,3.0,1272
Mario Lopez,3,4,9.666666666666666,0.14646464646464646,0.13218704955608607,0.11212942336331892,False,10.0,2.0,2.0,1272
Emmitt Smith,3,4,8.0,0.12121212121212122,0.14070586356417256,0.10686599131631717,False,10.0,1.0,1.0,1272
Willa Ford,3,4,9.333333333333334,0.14141414141414144,0.12952756141337773,0.10998828918760015,False,5.0,,7.0,1272
Sara Evans,3,4,6.666666666666667,0.10101010101010101,0.15896776037834964,0.10510447133530808,False,5.0,,6.0,1272
Jerry Springer,3,4,7.333333333333333,0.1111111111111111,0.14759545091989434,0.10339063753435243,False,7.0,,5.0,1272
Monique Coleman,3,5,9.0,0.14917127071823205,0.17656401737263303,0.11578192022539462,False,8.0,,4.0,193
Joey Lawrence,3,5,8.333333333333334,0.13812154696132597,0.1782400690103657,0.10923141570066303,False,10.0,3.0,3.0,193
Mario Lopez,3,5,9.0,0.14917127071823205,0.18760028084242825,0.11734287460234606,False,10.0,2.0,2.0,193
Emmitt Smith,3,5,9.0,0.14917127071823205,0.18759268136168455,0.11814383260208969,False,10.0,1.0,1.0,193
Willa Ford,3,5,9.0,0.14917127071823205,0.018412520579327272,0.016813035986286702,True,5.0,,7.0,193
Sara Evans,3,5,8.0,0.13259668508287292,0.05869775078748249,0.024274857776205076,True,5.0,,6.0,193
Jerry Springer,3,5,8.0,0.13259668508287292,0.19289268004607854,0.11690573441796401,False,7.0,,5.0,193
Monique Coleman,3,6,7.666666666666667,0.19491525423728814,0.19966189263935838,0.16273549722034267,False,8.0,,4.0,10000
Joey Lawrence,3,6,8.0,0.20338983050847456,0.1983610168839587,0.1613045407094057,False,10.0,3.0,3.0,10000
Mario Lopez,3,6,9.333333333333334,0.23728813559322035,0.20411024324039573,0.16561363207901203,False,10.0,2.0,2.0,10000
Emmitt Smith,3,6,8.333333333333334,0.211864406779661,0.19629705300806158,0.16213016701764893,False,10.0,1.0,1.0,10000
Jerry Springer,3,6,6.0,0.15254237288135591,0.20156979422822366,0.16336131272983842,False,7.0,,5.0,10000
Monique Coleman,3,7,9.0,0.2,0.24251476327172408,0.1699351341319437,False,8.0,,4.0,3127
Joey Lawrence,3,7,9.5,0.2111111111111111,0.23201068805492484,0.17178708848942345,False,10.0,3.0,3.0,3127
Mario Lopez,3,7,9.333333333333334,0.20740740740740743,0.23829181662001994,0.17259611283800533,False,10.0,2.0,2.0,3127
Emmitt Smith,3,7,9.5,0.2111111111111111,0.23662823915437822,0.17201477281282396,False,10.0,1.0,1.0,3127
Jerry Springer,3,7,7.666666666666667,0.17037037037037037,0.05055449289895306,0.038384626164044554,True,7.0,,5.0,3127
Monique Coleman,3,8,8.833333333333334,0.24311926605504589,0.06421141773742976,0.04958276656783351,True,8.0,,4.0,2661
Joey Lawrence,3,8,9.0,0.2477064220183486,0.3114339612872728,0.18618610875432123,False,10.0,3.0,3.0,2661
Mario Lopez,3,8,9.5,0.26146788990825687,0.31045249218560866,0.19114543919023094,False,10.0,2.0,2.0,2661
Emmitt Smith,3,8,9.0,0.2477064220183486,0.3139021287896883,0.18609793196763047,False,10.0,1.0,1.0,2661
Joey Lawrence,3,9,9.833333333333334,0.33333333333333337,0.3365646449707869,0.23646074872952524,False,10.0,3.0,3.0,10000
Mario Lopez,3,9,9.833333333333334,0.33333333333333337,0.3357515576027218,0.23708968425786897,False,10.0,2.0,2.0,10000
Emmitt Smith,3,9,9.833333333333334,0.33333333333333337,0.32768379742649073,0.23546408571653818,False,10.0,1.0,1.0,10000
Mario Lopez,3,10,9.888866666666667,0.5,0.2511940574110284,0.14214892817538283,False,10.0,2.0,2.0,5026
Emmitt Smith,3,10,9.888866666666667,0.5,0.748805942588974,0.14214892817538266,False,10.0,1.0,1.0,5026
John Ratzenberger,4,1,5.666666666666667,0.08252427184466021,0.09174390645120263,0.08295070872839314,False,7.0,,6.0,10000
Ian Ziering,4,1,7.0,0.10194174757281554,0.0917370618990781,0.0834952461469526,False,9.0,,4.0,10000
Clyde Drexler,4,1,5.333333333333333,0.07766990291262137,0.09047212648316746,0.08269394264996499,False,5.0,,8.0,10000
Laila Ali,4,1,7.666666666666667,0.11165048543689322,0.09120574631647148,0.0829221224837932,False,10.0,3.0,3.0,10000
Apolo Anton Ohno,4,1,7.0,0.10194174757281554,0.09100951616775003,0.08347659641641036,False,10.0,1.0,1.0,10000
Shandi Finnessey,4,1,6.333333333333333,0.09223300970873788,0.09106731100822718,0.08377105327154834,False,3.0,,10.0,10000
Paulina Porizkova,4,1,6.333333333333333,0.09223300970873788,0.09063885854781904,0.08277672971451384,False,2.0,,11.0,10000
Heather Mills,4,1,6.0,0.08737864077669905,0.09002612271810144,0.08210959726648132,False,6.0,,7.0,10000
Billy Ray Cyrus,4,1,4.333333333333333,0.06310679611650485,0.08924023670003921,0.08087123504509115,False,8.0,,5.0,10000
Joey Fatone,4,1,8.0,0.11650485436893206,0.09184574227445297,0.08398832794511187,False,10.0,2.0,2.0,10000
Leeza Gibbons,4,1,5.0,0.07281553398058253,0.09101337143368905,0.08349529253843918,False,4.0,,9.0,10000
John Ratzenberger,4,2,7.0,0.08571428571428573,0.09929755619464829,0.08646547434929447,False,7.0,,6.0,1141
Ian Ziering,4,2,7.333333333333333,0.08979591836734695,0.09784810862196608,0.08571011774753884,False,9.0,,4.0,1141
Clyde Drexler,4,2,6.0,0.07346938775510205,0.1129962616973828,0.08259510958252304,False,5.0,,8.0,1141
Laila Ali,4,2,9.0,0.11020408163265308,0.08908675275993512,0.08205419719121775,False,10.0,3.0,3.0,1141
Apolo Anton Ohno,4,2,8.666666666666666,0.10612244897959185,0.09221064317247621,0.08201970666130058,False,10.0,1.0,1.0,1141
Shandi Finnessey,4,2,6.666666666666667,0.0816326530612245,0.10456013896952256,0.08463706514930242,False,3.0,,10.0,1141
Paulina Porizkova,4,2,7.0,0.08571428571428573,0.01022414565635452,0.008540437869692347,True,2.0,,11.0,1141
Heather Mills,4,2,8.0,0.0979591836734694,0.09168467514500313,0.08113881805418931,False,6.0,,7.0,1141
Billy Ray Cyrus,4,2,7.0,0.08571428571428573,0.10429612418908492,0.08503892636531112,False,8.0,,5.0,1141
Joey Fatone,4,2,8.0,0.0979591836734694,0.09527609943508245,0.08054986112398639,False,10.0,2.0,2.0,1141
Leeza Gibbons,4,2,7.0,0.08571428571428573,0.1025194941585443,0.0835397883486235,False,4.0,,9.0,1141
John Ratzenberger,4,3,6.666666666666667,0.09174311926605504,0.11709857849349968,0.08705263951242477,False,7.0,,6.0,1107
Ian Ziering,4,3,8.0,0.11009174311926605,0.10523585006143402,0.09168292192939284,False,9.0,,4.0,1107
Clyde Drexler,4,3,5.333333333333333,0.07339449541284403,0.13476305384608714,0.09118471774403453,False,5.0,,8.0,1107
Laila Ali,4,3,7.0,0.09633027522935779,0.11346293840042404,0.08937472125490176,False,10.0,3.0,3.0,1107
Apolo Anton Ohno,4,3,7.666666666666667,0.1055045871559633,0.10050502354340017,0.08470491954512768,False,10.0,1.0,1.0,1107
Shandi Finnessey,4,3,7.0,0.09633027522935779,0.011508950516411563,0.009115146870437352,True,3.0,,10.0,1107
Heather Mills,4,3,8.0,0.11009174311926605,0.10479585823192467,0.09298889801886141,False,6.0,,7.0,1107
Billy Ray Cyrus,4,3,7.0,0.09633027522935779,0.11042928961310132,0.09004525229056629,False,8.0,,5.0,1107
Joey Fatone,4,3,8.0,0.11009174311926605,0.0992830405668952,0.08748199317019023,False,10.0,2.0,2.0,1107
Leeza Gibbons,4,3,8.0,0.11009174311926605,0.10291741672682173,0.08995816264740329,False,4.0,,9.0,1107
John Ratzenberger,4,4,5.333333333333333,0.08421052631578947,0.13934495687246895,0.10335075399852069,False,7.0,,6.0,2350
Ian Ziering,4,4,8.0,0.12631578947368421,0.11625760120992257,0.100429870100612,False,9.0,,4.0,2350
Clyde Drexler,4,4,5.0,0.07894736842105263,0.14102949627278377,0.10132266063155765,False,5.0,,8.0,2350
Laila Ali,4,4,7.0,0.11052631578947368,0.11766558991286666,0.09991644161335284,False,10.0,3.0,3.0,2350
Apolo Anton Ohno,4,4,8.666666666666666,0.13684210526315788,0.11785921037670227,0.1030072284172588,False,10.0,1.0,1.0,2350
Heather Mills,4,4,7.666666666666667,0.12105263157894737,0.11246790914617291,0.09709621803352601,False,6.0,,7.0,2350
Billy Ray Cyrus,4,4,7.0,0.11052631578947368,0.11945325727281085,0.10074531962233053,False,8.0,,5.0,2350
Joey Fatone,4,4,9.333333333333334,0.1473684210526316,0.11388856280197673,0.10285723907502357,False,10.0,2.0,2.0,2350
Leeza Gibbons,4,4,5.333333333333333,0.08421052631578947,0.022033416134294978,0.016394473599148515,True,4.0,,9.0,2350
John Ratzenberger,4,5,6.0,0.10227272727272727,0.14318108996950057,0.11354279382059576,False,7.0,,6.0,3716
Ian Ziering,4,5,8.0,0.13636363636363635,0.13572737837150486,0.11673059244217925,False,9.0,,4.0,3716
Clyde Drexler,4,5,4.333333333333333,0.07386363636363635,0.03361299857518701,0.024025073187730204,True,5.0,,8.0,3716
Laila Ali,4,5,9.333333333333334,0.1590909090909091,0.13216340179866246,0.11683389486077063,False,10.0,3.0,3.0,3716
Apolo Anton Ohno,4,5,10.0,0.17045454545454544,0.13113634964055043,0.11528429199478639,False,10.0,1.0,1.0,3716
Heather Mills,4,5,7.0,0.11931818181818181,0.13845923432305543,0.11391425367799791,False,6.0,,7.0,3716
Billy Ray Cyrus,4,5,5.666666666666667,0.09659090909090909,0.14854819722527593,0.11454508327245337,False,8.0,,5.0,3716
Joey Fatone,4,5,8.333333333333334,0.14204545454545453,0.13717135009626397,0.11497812878536497,False,10.0,2.0,2.0,3716
John Ratzenberger,4,6,6.333333333333333,0.11176470588235295,0.1871693964205649,0.11840763966760522,False,7.0,,6.0,1715
Ian Ziering,4,6,8.0,0.1411764705882353,0.1631391485797139,0.12185457057484589,False,9.0,,4.0,1715
Laila Ali,4,6,9.333333333333334,0.1647058823529412,0.14792435805194182,0.1227979137595549,False,10.0,3.0,3.0,1715
Apolo Anton Ohno,4,6,9.333333333333334,0.1647058823529412,0.1453093715365711,0.12158423344624247,False,10.0,1.0,1.0,1715
Heather Mills,4,6,7.666666666666667,0.13529411764705884,0.023835632643764006,0.018636393297746023,True,6.0,,7.0,1715
Billy Ray Cyrus,4,6,7.0,0.12352941176470589,0.17902810051337337,0.12002609364235967,False,8.0,,5.0,1715
Joey Fatone,4,6,9.0,0.15882352941176472,0.1535939922540706,0.1287559652768964,False,10.0,2.0,2.0,1715
John Ratzenberger,4,7,7.5,0.14563106796116504,0.03602983399449564,0.027787235500216553,True,7.0,,6.0,2459
Ian Ziering,4,7,9.0,0.17475728155339804,0.18306138768124422,0.14432318304470343,False,9.0,,4.0,2459
Laila Ali,4,7,9.833333333333334,0.19093851132686082,0.18243807584649083,0.14302748387613673,False,10.0,3.0,3.0,2459
Apolo Anton Ohno,4,7,9.0,0.17475728155339804,0.18578404168546728,0.14468910521850756,False,10.0,1.0,1.0,2459
Billy Ray Cyrus,4,7,6.333333333333333,0.12297734627831713,0.23251250665949158,0.14686851437634957,False,8.0,,5.0,2459
Joey Fatone,4,7,9.833333333333334,0.19093851132686082,0.18017415413280996,0.14478789231958505,False,10.0,2.0,2.0,2459
Ian Ziering,4,8,7.833333333333333,0.18725099601593623,0.24258710466527916,0.16946219604624585,False,9.0,,4.0,3756
Laila Ali,4,8,8.833333333333334,0.21115537848605578,0.23816685873760363,0.17322470298532905,False,10.0,3.0,3.0,3756
Apolo Anton Ohno,4,8,9.666666666666666,0.23107569721115534,0.2290178738004888,0.17476109658195918,False,10.0,1.0,1.0,3756
Billy Ray Cyrus,4,8,6.333333333333333,0.15139442231075695,0.056609480433436526,0.040871226459206565,True,8.0,,5.0,3756
Joey Fatone,4,8,9.166666666666666,0.2191235059760956,0.2336186823631924,0.17254086439995941,False,10.0,2.0,2.0,3756
Ian Ziering,4,9,9.666666666666666,0.24472573839662445,0.06347641571303743,0.04925942743516295,True,9.0,,4.0,2656
Laila Ali,4,9,10.0,0.25316455696202533,0.31292087895106396,0.18868698604948725,False,10.0,3.0,3.0,2656
Apolo Anton Ohno,4,9,9.833333333333334,0.2489451476793249,0.3113652596032516,0.1827376644599771,False,10.0,1.0,1.0,2656
Joey Fatone,4,9,10.0,0.25316455696202533,0.3122374457326476,0.19049687856253075,False,10.0,2.0,2.0,2656
Laila Ali,4,10,9.444400000000002,0.32818543104656517,0.11144259582072549,0.08002727542957076,False,10.0,3.0,3.0,1646
Apolo Anton Ohno,4,10,9.777733333333334,0.3397685007685367,0.613441102978339,0.14481676467342736,False,10.0,1.0,1.0,1646
Joey Fatone,4,10,9.5555,0.33204606818489824,0.27511630120093616,0.10689051440985939,False,10.0,2.0,2.0,1646
Cameron Mathison,5,1,7.0,0.08171206225680935,0.08813589095120768,0.07963219476709604,False,8.0,,5.0,2539
Jane Seymour,5,1,8.0,0.09338521400778212,0.08536460011101932,0.07694171918284363,False,7.0,,6.0,2539
Sabrina Bryan,5,1,8.666666666666666,0.10116731517509728,0.08932864184180737,0.07952955514383453,False,6.0,,7.0,2539
Jennie Garth,5,1,7.0,0.08171206225680935,0.09083833291551155,0.07802946525231017,False,9.0,,4.0,2539
Floyd Mayweather Jr. ,5,1,6.0,0.07003891050583658,0.0953330589851377,0.07999501898235696,False,4.0,,9.0,2539
Josie Maran,5,1,5.333333333333333,0.0622568093385214,0.014213080037833711,0.010333326137513721,True,1.0,,12.0,2539
Albert Reed,5,1,7.0,0.08171206225680935,0.08758477358567975,0.07752564846196225,False,2.0,,11.0,2539
Helio Castroneves,5,1,8.333333333333334,0.0972762645914397,0.08702334147376387,0.08088757154939093,False,10.0,1.0,1.0,2539
Mel B,5,1,8.0,0.09338521400778212,0.08938659555840703,0.07930324027135104,False,10.0,2.0,2.0,2539
Wayne Newton,5,1,6.333333333333333,0.07392996108949416,0.0924986260134812,0.08108851434338842,False,3.0,,10.0,2539
Marie Osmond,5,1,7.0,0.08171206225680935,0.09099643627104062,0.08017662561840155,False,10.0,3.0,3.0,2539
